Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
EnerNOC Pty Ltd,"Amcor Glass, Gawler Plant",SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,3-Jan,1.34,N,AMCORGR,4,4,
LUMO Generation SA Pty Ltd,Angaston Power Station,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,18-Jan,1.667,Y,ANGAS1,30,30,17
LUMO Generation SA Pty Ltd,Angaston Power Station,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,12-Jan,1.667,Y,ANGAS2,20,20,17
Alcoa of Australia Limited,Anglesea Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,165,N,APS,165,165,4
LUMO Generation SA Pty Ltd,Awaba Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,,,1,1.123,N,AWABAREF,1.123,1,
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,47,N,BDL01,47,47,4
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,47,N,BDL02,47,47,4
EnerNOC Pty Ltd,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,3-Jan,1.02,N,BBASEHOS,3,3,
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2-Jan,5.3,Y,BAPS,12.85,13,
EnerNOC Pty Ltd,Bankstown Sports Club Plant Units ,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.8,N,BANKSPT1,2,2,
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,37,N,BARCALDN,37,37,3
Stanwell Corporation Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Run of River,1,30,N,BARRON-1,30,33,4
Basslink Pty Ltd,Basslink HVDC Link,TAS1,Network Service Provider,Market,Scheduled,,,,,1,478,N,BLNKTAS,478,478,200
Basslink Pty Ltd,Basslink HVDC Link,VIC1,Network Service Provider,Market,Scheduled,,,,,1,594,N,BLNKVIC,594,594,200
Hydro-Electric Corporation trading as Hydro Tasmania,Bastyan Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,79.9,N,BASTYAN,79.9,88,40
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,660,N,BW01,660,700,140
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,660,N,BW02,660,700,140
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,660,N,BW03,660,700,140
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,660,N,BW04,660,700,140
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,35,N,BBTHREE1,35,49,10
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,35,N,BBTHREE2,35,49,10
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Bell Bay Three Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,35,N,BBTHREE3,35,49,10
Origin Energy Electricity Limited,Bendeela / Kangaroo Valley Power Station,NSW1,Generator ,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,B 1-2,40,Y,SHGEN ,240,240,25
Origin Energy Electricity Limited,Bendeela / Kangaroo Valley Pumps,NSW1,Load Norm Off,Market,Scheduled,,,,,B 1-2,40,Y,SHPUMP,240,240,10
Snowy Hydro Limited,Blowering Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,70,N,BLOWERNG,70,80,10
EnerNOC Pty Ltd,Blue Lake Milling Power Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,BLULAKE1,1,1,
Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,31,52,N,BOCORWF1,52,52,201
AGL Hydro Partnership,Bogong / Mckay Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity, B 1-2,80,Y,MCKAY1,300,300,60
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),5,173,N,BRAEMAR5,173,173,35
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),6,173,N,BRAEMAR6,173,173,35
NewGen Braemar 2 Partnership,Braemar 2 Power Station,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),7,173,N,BRAEMAR7,173,173,35
Braemar Power Project Pty Ltd,Braemar Power Station ,QLD1,Generator,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),1,168,N,BRAEMAR1,168,173,43
